country,status,source
Brunei,Banned,https://en.wikipedia.org/wiki/Bans_of_women%27s_association_football
Afghanistan,Banned,https://en.wikipedia.org/wiki/Bans_of_women%27s_association_football
Oman,No national team,https://en.wikipedia.org/wiki/List_of_women%27s_national_association_football_teams
Yemen,No national team,https://en.wikipedia.org/wiki/List_of_women%27s_national_association_football_teams
Somalia,No national team,https://en.wikipedia.org/wiki/List_of_women%27s_national_association_football_teams
Kuwait,National team unranked (no match in >2y),https://inside.fifa.com/fifa-world-ranking/women
Qatar,National team unranked (no match in >2y),https://inside.fifa.com/fifa-world-ranking/women
Sudan,National team unranked (no match in >2y),https://inside.fifa.com/fifa-world-ranking/women
Mauritania,National team unranked (no match in >2y),https://inside.fifa.com/fifa-world-ranking/women
Eritrea,National team unranked (no match in >2y),https://inside.fifa.com/fifa-world-ranking/women
Saudi Arabia,Restrictions on women spectators,https://www.msn.com/en-us/news/world/6-countries-that-bar-women-from-watching-sports-in-stadiums/ar-AA1TKB43
Iran,Restrictions on women spectators,https://www.msn.com/en-us/news/world/6-countries-that-bar-women-from-watching-sports-in-stadiums/ar-AA1TKB43
